AllCCSID,name,SMILES,mz_ratio,exp_ccs,Formula,Adduct
LIPMETLIN00057,C2 Dihydroceramide (d18:0/2:0),CCCCCCCCCCCCCCC[C@H]([C@@H](NC(=O)C)CO)O,342.3013516,195.5666667,C20H41NO3,[M-H]-
LIPMETLIN00090,C16 Cyclic LPA,O=P1(O)O[C@H](COCCCCCCCCCCCCCCCC)CO1,377.2462214,194.2333333,C19H39O5P,[M-H]-
LIPMETLIN00093,Sphingosine-1-Phosphate (d18:1),C(=C\CCCCCCCCCCCCC)/[C@H]([C@H](COP(=O)(O)O)N)O,378.2414708,197.0666667,C18H38NO5P,[M-H]-
LIPMETLIN00097,BMP22,c1(CCCCCCCCCCCCCCC)ccc(cc1)CP(=O)(O)O,381.2563914,198.4,C22H39O3P,[M-H]-
LIPMETLIN00165,Ursocholic acid,C[C@@]1([C@@]2([H])CC[C@]1([H])[C@@](C)([H])CCC(O)=O)[C@@H](O)C[C@@]3([H])[C@@]2([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@@]43C,407.280283,203.5666667,C24H40O5,[M-H]-
LIPMETLIN00184,18:1 Cyclic LPA,O=P1(O)OC(COC(CCCCCCC/C=C\CCCCCCCC)=O)CO1,417.2411364,201.1666667,C21H39O6P,[M-H]-
LIPMETLIN00208,7a-hydroxy-3-oxo-4-cholestenoic acid,[H][C@@]12[C@]([C@](CC3)(C)C(C[C@H]2O)=CC3=O)([H])CC[C@@]4(C)[C@@]1([H])CC[C@]4([H])[C@]([H])(C)CCC[C@@H](C)C(O)=O,429.3010172,204.5666667,C27H42O4,[M-H]-
LIPMETLIN00244,"Beta-D-mannosyl farnesyl phosphate, ammonium salt",OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](OP(OC/C=C(C)/CC/C=C(C)/CC/C=C(C)/C)(O)=O)O1,461.2309664,209.3666667,C22H39O8P,[M-H]-
LIPMETLIN00301,08:0 PS,C(=O)([C@H](COP(=O)(OC[C@@H](COC(=O)CCCCCCC)OC(=O)CCCCCCC)O)N)O,510.2473442,224.9333333,C22H42NO10P,[M-H]-
LIPMETLIN00305,18:0 Dibromo MG (S-isomer),OC[C@@](O)([H])COC(CCCCCCCC(Br)C(Br)CCCCCCCC)=O,513.12204,217.4333333,C21H40Br2O4,[M-H]-
LIPMETLIN00307,"Tauro-b-muricholic acid, sodium salt",[H][C@@]12[C@]([C@](CC[C@@H](O)C3)(C)[C@]3([H])[C@H](O)[C@@H]2O)([H])CC[C@@]4(C)[C@@]1([H])CC[C@]4([H])[C@]([H])(C)CCC(NCCS(=O)(O)=O)=O,514.284382,209.2333333,C26H45NO7S,[M-H]-
LIPMETLIN00377,18:1(2S-OH) Ceramide,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](NC([C@@H](O)CCCCCC/C=C\CCCCCCCC)=O)CO,578.5153554,265.1333333,C36H69NO4,[M-H]-
LIPMETLIN00382,17:1 Lyso PI,O=C(CCCCCCCC/C=C\CCCCCC)OC[C@@]([H])(O)COP(O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)(O)=O,583.2888724,235.1333333,C26H49O12P,[M-H]-
LIPMETLIN00608,18:0-18:1 PG,[H][C@@](COP(O)(OCC(CO)O)=O)(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O,775.5494296,282.9666667,C42H81O10P,[M-H]-
LIPMETLIN00709,16:0 PDP PE,[H][C@@](COP(O)(OCCNC(CCSSC1=CC=CC=N1)=O)=O)(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,887.5048066,301.9333333,C45H81N2O9PS2,[M-H]-
LIPMETLIN00745,18:1 PE-benzylguanine,[H][C@@](COP(O)(OCCNC(NCC1=CC=C(COC2=NC(N)=NC3=C2N=CN3)C=C1)=O)=O)(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O,1038.641369,323.4333333,C55H90N7O10P,[M-H]-
